Hour,GridGreedy_Power,GridGreedy_Cost,GridOptimal_Power,GridOptimal_Cost,SolarSDC_Power,SolarSDC_Cost
1,38.3478,0.00327332,38.3478,0.00327332,38.3478,0.00327332
2,30,0.0107333,30,0.0107333,30,0.0107333
3,30,0.0182667,30,0.0182667,30,0.0182667
4,30,0.00853333,30,0.00853333,30,0.00853333
5,30,0.005,30,0.005,30,0.005
6,30,0.005,30,0.005,30,0.005
7,30,0.005,30,0.005,30,0.005
8,30,0.005,30,0.005,30,0.005
9,30,0.005,30,0.005,30,0.005
10,30,0.005,30,0.005,30,0.005
11,30,0.005,30,0.005,30,0.005
12,30,0.00747231,30,0.00747231,30,0.00747231
13,30,0.0103869,30,0.0103869,30,0.0103869
14,30,0.0104862,30,0.0104862,30,0.0104862
15,30,0.0113403,30,0.0113403,30,0.0113403
16,30.0499,0.0120301,30.0499,0.0120301,30.0499,0.0120301
17,32.1384,0.0127593,32.1384,0.0127593,32.1384,0.0127593
18,30,0.0113003,30,0.0113003,30,0.0113003
19,1701.65,0.576216,1588.01,0.505336,1701.65,0.576216
20,1665.86,0.457423,1665.86,0.457423,1665.86,0.457423
21,1432.24,0.385241,1432.24,0.385241,1432.24,0.385241
22,1254.46,0.348601,1254.46,0.348601,1254.46,0.348601
23,1008.16,0.280158,1008.16,0.280158,1008.16,0.280158
24,55.536,0.0154329,55.536,0.0154329,55.536,0.0154329
