Hour,GridGreedy_Power,GridGreedy_Cost,GridOptimal_Power,GridOptimal_Cost,SolarSDC_Power,SolarSDC_Cost
1,38.3478,0.00327332,38.3478,0.00327332,38.3478,0.00327332
2,30,0.0107333,30,0.0107333,30,0.0107333
3,30,0.0182667,30,0.0182667,30,0.0182667
4,30,0.00853333,30,0.00853333,30,0.00853333
5,30,0.005,30,0.005,30,0.005
6,30,0.005,30,0.005,30,0.005
7,30,0.005,30,0.005,30,0.005
8,30,0.005,30,0.005,30,0.005
9,30,0.005,30,0.005,30,0.005
10,30,0.005,30,0.005,30,0.005
11,30,0.005,30,0.005,30,0.005
12,30,0.00747231,30,0.00747231,30,0.00747231
13,30,0.0103869,30,0.0103869,30,0.0103869
14,30,0.0104862,30,0.0104862,30,0.0104862
15,30,0.0113403,30,0.0113403,30,0.0113403
16,30,0.0120103,30,0.0120103,30,0.0120103
17,30,0.0119428,30,0.0119428,30,0.0119428
18,30,0.0113003,30,0.0113003,30,0.0113003
19,30,0.00976442,30,0.00976442,30,0.00976442
20,573.837,0.149967,573.837,0.149967,573.837,0.149967
21,1326.04,0.356716,1326.04,0.356716,1326.04,0.356716
22,1177.47,0.327208,1177.47,0.327208,1177.47,0.327208
23,890.674,0.247509,890.674,0.247509,890.674,0.247509
24,55.536,0.0154329,55.536,0.0154329,55.536,0.0154329
